,Unnamed: 0,dateSold,propertyType,lotAreaValue,address,imgSrc,price,listingDateTime,longitude,latitude,listingStatus,zpid,livingArea,daysOnZillow,bedrooms,bathrooms,country,currency,lotAreaUnit,hasImage,listingSubType.is_newHome
0,0,1644566400000,SINGLE_FAMILY,5.02,"10610 Vickers Dr, Vienna, VA 22181",https://photos.zillowstatic.com/fp/64a9f210f037dc52f2508ee16eb69e07-p_e.jpg,3000000,,-77.31457,38.91275,RECENTLY_SOLD,51766633,5138.0,-1,4.0,6.0,USA,USD,sqft,True,
1,1,1644566400000,SINGLE_FAMILY,0.28,"2315 Tanglevale Dr, Vienna, VA 22181",https://photos.zillowstatic.com/fp/d567ec1a74d4f4b1c474f0294850f2f9-p_e.jpg,901000,,-77.288086,38.901722,RECENTLY_SOLD,51771108,2521.0,-1,4.0,3.0,USA,USD,acres,True,
2,2,1644566400000,SINGLE_FAMILY,0.94,"9925 Coach Rd, Vienna, VA 22181",https://photos.zillowstatic.com/fp/8ef8d2655b9b60436286f3012f267391-p_e.jpg,903500,,-77.29022,38.916992,RECENTLY_SOLD,51745471,2850.0,-1,4.0,3.0,USA,USD,sqft,True,
3,3,1644566400000,SINGLE_FAMILY,10018.8,"1921 Aubrey Place Ct, Vienna, VA 22182",https://photos.zillowstatic.com/fp/f3015597ee8082357d1859a0ca3ec755-p_e.jpg,875000,,-77.28347,38.919266,RECENTLY_SOLD,51745950,2226.0,-1,5.0,3.0,USA,USD,sqft,True,
4,4,1644480000000,SINGLE_FAMILY,0.36,"518 Walker St SW, Vienna, VA 22180",https://photos.zillowstatic.com/fp/e6be08a30e745b95f2140e0c19a010d6-p_e.jpg,795000,,-77.253296,38.88193,RECENTLY_SOLD,51803746,1433.0,-1,0.0,0.0,USA,USD,acres,True,
5,5,1644220800000,SINGLE_FAMILY,0.52,"10407 Stone Ridge Ln, Vienna, VA 22182",https://photos.zillowstatic.com/fp/b365ea04de8d413ed72048de380df1fb-p_e.jpg,1115000,,-77.30529,38.94098,RECENTLY_SOLD,51743345,3036.0,-1,4.0,3.0,USA,USD,acres,True,
6,6,1644220800000,SINGLE_FAMILY,0.57,"1696 Brittenford Ct, Vienna, VA 22182",https://photos.zillowstatic.com/fp/29b5b8dd75ea0cfc47aaa6959c8623d9-p_e.jpg,1653000,,-77.30145,38.946682,RECENTLY_SOLD,59786220,6058.0,-1,5.0,5.0,USA,USD,acres,True,
7,7,1643961600000,SINGLE_FAMILY,0.32,"609 Gibson Dr SW, Vienna, VA 22180",https://photos.zillowstatic.com/fp/51c59bc4c0ea9ca69e6e2ca1224732bd-p_e.jpg,3700,,-77.26735,38.889442,RECENTLY_SOLD,51772186,3279.0,-1,6.0,4.0,USA,USD,acres,True,
8,8,1643356800000,SINGLE_FAMILY,1.08,"1621 Hicks Dr, Vienna, VA 22182",https://photos.zillowstatic.com/fp/bd803fd9554445adb261013debcf2dfe-p_e.jpg,830000,,-77.26844,38.932655,RECENTLY_SOLD,51744914,2956.0,-1,4.0,2.0,USA,USD,sqft,True,
9,9,1643356800000,SINGLE_FAMILY,0.28,"2108 Woodford Rd, Vienna, VA 22182",https://photos.zillowstatic.com/fp/31b94cd88b6ea940e07be127f1375916-p_e.jpg,960000,,-77.23964,38.90522,RECENTLY_SOLD,51773712,3359.0,-1,5.0,3.0,USA,USD,acres,True,
10,10,1643270400000,SINGLE_FAMILY,10454.4,"8726 Litwalton Ct, Vienna, VA 22182",https://photos.zillowstatic.com/fp/2131f278bb3022cdbff52b9a82d8be37-p_e.jpg,855000,,-77.24121,38.902317,RECENTLY_SOLD,51777337,2668.0,-1,4.0,3.0,USA,USD,sqft,True,
11,11,1643097600000,SINGLE_FAMILY,2.32,"10233 Vale Rd, Vienna, VA 22181",https://photos.zillowstatic.com/fp/32c58d44efd61dac41b42743ed5aead6-p_e.jpg,2500000,,-77.29923,38.901863,RECENTLY_SOLD,51767681,8928.0,-1,6.0,8.0,USA,USD,sqft,True,
12,12,1643097600000,SINGLE_FAMILY,0.79,"9820 Spring Ridge Ln, Vienna, VA 22182",https://photos.zillowstatic.com/fp/b707d122d94a265ade0e0b899f5f4173-p_e.jpg,1239000,,-77.28501,38.955303,RECENTLY_SOLD,51725151,4282.0,-1,4.0,5.0,USA,USD,acres,True,
13,13,1643097600000,SINGLE_FAMILY,0.49,"116 Fardale St SE, Vienna, VA 22180",https://photos.zillowstatic.com/fp/d1d506d601123d33accb367ff9b44db0-p_e.jpg,2025000,,-77.247406,38.88972,RECENTLY_SOLD,51776836,7253.0,-1,7.0,7.0,USA,USD,acres,True,
14,14,1643097600000,SINGLE_FAMILY,0.47,"1713 Fox Run Ct, Vienna, VA 22182",https://photos.zillowstatic.com/fp/568368132f525164e93e1017ea15c7c9-p_e.jpg,750000,,-77.30085,38.940994,RECENTLY_SOLD,51743290,3052.0,-1,4.0,3.0,USA,USD,acres,True,
15,15,1643011200000,SINGLE_FAMILY,10018.8,"406 Plum St SW, Vienna, VA 22180",https://photos.zillowstatic.com/fp/3cf22e21bd53245acd709f699d81925b-p_e.jpg,1740000,,-77.26518,38.89498,RECENTLY_SOLD,51772664,5190.0,-1,5.0,5.0,USA,USD,sqft,True,
16,16,1642752000000,SINGLE_FAMILY,0.27,"114 Harmony Dr SE, Vienna, VA 22180",https://photos.zillowstatic.com/fp/18f615ca133c3f923aa016a8df821fe5-p_e.jpg,1700000,,-77.25213,38.89493,RECENTLY_SOLD,51772327,6800.0,-1,6.0,7.0,USA,USD,acres,True,
17,17,1642752000000,SINGLE_FAMILY,10454.4,"413 Yeonas Dr SW, Vienna, VA 22180",https://photos.zillowstatic.com/fp/9e75bc6fcabb3e38ef5cf442e837e4ed-p_e.jpg,1640000,,-77.25692,38.885155,RECENTLY_SOLD,51803471,4983.0,-1,6.0,6.0,USA,USD,sqft,True,
18,18,1642752000000,SINGLE_FAMILY,0.54,"10104 Tamarack Dr, Vienna, VA 22182",https://photos.zillowstatic.com/fp/dfb078be5a343a26bbca6d46e1ae5b66-p_e.jpg,880000,,-77.294975,38.935028,RECENTLY_SOLD,51743421,2685.0,-1,5.0,3.0,USA,USD,acres,True,
19,19,1642665600000,SINGLE_FAMILY,0.25,"507 Valley Dr SE, Vienna, VA 22180",https://photos.zillowstatic.com/fp/7766b85f7ff759f50614dcb7ad7fdfef-p_e.jpg,1739715,,-77.2549,38.901592,RECENTLY_SOLD,51772954,1008.0,-1,5.0,6.0,USA,USD,acres,True,
20,20,1642406400000,SINGLE_FAMILY,10454.4,"8336 Carnegie Dr, Vienna, VA 22180",https://photos.zillowstatic.com/fp/08a0fa453017c80ecbf2b6407ba4abcb-p_e.jpg,812000,,-77.23383,38.88354,RECENTLY_SOLD,51808154,1792.0,-1,3.0,3.0,USA,USD,sqft,True,
21,21,1642147200000,SINGLE_FAMILY,0.55,"1539 Red Rock Ct, Vienna, VA 22182",https://photos.zillowstatic.com/fp/7656c41c2445be5cbaa869ba1a6fc309-p_e.jpg,656500,,-77.27625,38.942604,RECENTLY_SOLD,51744531,2494.0,-1,4.0,4.0,USA,USD,acres,True,
22,22,1642147200000,SINGLE_FAMILY,6098.4,"8261 Electric Ave, Vienna, VA 22182",https://photos.zillowstatic.com/fp/2b320264415b88d75db48cfe7afa9cde-p_e.jpg,810000,,-77.231544,38.899574,RECENTLY_SOLD,51776820,1583.0,-1,3.0,3.0,USA,USD,sqft,True,
23,23,1642147200000,SINGLE_FAMILY,0.34,"1533 Red Rock Ct, Vienna, VA 22182",https://photos.zillowstatic.com/fp/a11bce72099beff530f8d6f2a17a71a4-p_e.jpg,670000,,-77.27744,38.942734,RECENTLY_SOLD,51744528,2868.0,-1,4.0,4.0,USA,USD,acres,True,
24,24,1642147200000,SINGLE_FAMILY,0.65,"1170 Old Tolson Mill Rd, McLean, VA 22102","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=38.95852279663086,-77.25259399414062&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=03_3cnncfBCpDRh_NLmjJJ9S_q4=",862000,,-77.252594,38.958523,RECENTLY_SOLD,51725463,1256.0,-1,3.0,2.0,USA,USD,acres,,
25,25,1642147200000,SINGLE_FAMILY,0.92,"10507 Walter Thompson Dr, Vienna, VA 22181",https://photos.zillowstatic.com/fp/571ccd1252f8b67bfe9e9a8263f3d75b-p_e.jpg,1225000,,-77.314026,38.914368,RECENTLY_SOLD,51766746,4300.0,-1,5.0,4.0,USA,USD,acres,True,
26,26,1642060800000,SINGLE_FAMILY,5662.8,"2796 Miles Stone Dr, Vienna, VA 22181",https://photos.zillowstatic.com/fp/e1b4dbae5a1933e44a6fe738f2b2783c-p_e.jpg,1050000,,-77.28913,38.88333,RECENTLY_SOLD,51803325,2842.0,-1,4.0,4.0,USA,USD,sqft,True,
27,27,1641974400000,SINGLE_FAMILY,0.27,"2546 Villanova Ct, Vienna, VA 22180","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=38.886722564697266,-77.23335266113281&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=7X6DmX0rjuAqirH8nERKTqI_K7A=",700000,,-77.23335,38.886723,RECENTLY_SOLD,51808212,1828.0,-1,4.0,3.0,USA,USD,acres,,
28,28,1641974400000,SINGLE_FAMILY,0.89444444444444,"1362 Tate Modern Ln, Great Falls, VA 22102","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=38.95390319824219,-77.2623519897461&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=UZrxAKA1WGJuUV2fJEbJloAynZY=",2734486,,-77.26235,38.953903,RECENTLY_SOLD,306650166,,-1,,,USA,USD,acres,,
30,30,1641801600000,SINGLE_FAMILY,,"2615 Glengyle Dr, Vienna, VA 22181",https://photos.zillowstatic.com/fp/a2a56824279bf2cce184a87201a168f2-p_e.jpg,350000,,-77.27921,38.89328,RECENTLY_SOLD,51771414,1141.0,-1,3.0,2.0,USA,USD,,True,
32,32,1641801600000,SINGLE_FAMILY,0.3,"927 Fairway Dr NE, Vienna, VA 22180",https://photos.zillowstatic.com/fp/be0b769edfe9b36c8f2d59d77d3a026c-p_e.jpg,1125000,,-77.253624,38.917492,RECENTLY_SOLD,51746504,2081.0,-1,5.0,5.0,USA,USD,acres,True,
33,33,1641542400000,SINGLE_FAMILY,0.92,"10164 Clover Glen Dr, Vienna, VA 22181",https://photos.zillowstatic.com/fp/8f6255d5d010ac838fab041fbcc01ae5-p_e.jpg,1215000,,-77.29371,38.922203,RECENTLY_SOLD,51744382,3924.0,-1,4.0,4.0,USA,USD,acres,True,
34,34,1641542400000,SINGLE_FAMILY,2.48,"1620 Crowell Rd, Vienna, VA 22182",https://photos.zillowstatic.com/fp/38e51a94b3b4e87e82ab36a6648edd33-p_e.jpg,1500000,,-77.30811,38.952667,RECENTLY_SOLD,51723969,4567.0,-1,5.0,5.0,USA,USD,sqft,True,
35,35,1641542400000,SINGLE_FAMILY,0.4,"1009 Mountfort Ct SW, Vienna, VA 22180",https://photos.zillowstatic.com/fp/61f05a2d620a9ea63b737c5cf6de4702-p_e.jpg,2395205,,-77.26148,38.88523,RECENTLY_SOLD,51804229,6242.0,-1,6.0,7.0,USA,USD,acres,True,
36,36,1641542400000,SINGLE_FAMILY,0.28875114784206,"510 Kibler Cir SW, Vienna, VA 22180",https://photos.zillowstatic.com/fp/5f40ca0bbb80678c1f2a54a7aa0d5360-p_e.jpg,750000,,-77.262856,38.88778,RECENTLY_SOLD,51803964,2072.0,-1,4.0,2.0,USA,USD,acres,True,
