,Feature,Correlation with Price
0,Full Bathrooms,0.7955742253574181
1,Bathrooms,0.787287243231986
2,Living Area,0.7783466464309915
3,Year Built,0.6119374122243434
4,Bedrooms,0.5571978931121276
5,Garage Spaces,0.4205319308233758
6,Half Bathrooms,0.3844816678839861
7,Fireplaces,0.3295998759073975
8,Lot Size,0.3132145126142459
9,Levels,0.2650299297039804
10,Latitude,0.20198789863898584
11,Main Level Bathrooms,0.1534746258037844
12,Longitude,-0.13352151838989068
13,Main Level Bedrooms,-0.24319794346565257
